,station_id,station_name,station_latitude,station_longitude,label
78,174,Shattuck Ave at 51st St,37.8368013,-122.2640037,0
79,175,49th St at Telegraph Ave,37.8359455,-122.2623663,0
80,176,MacArthur BART Station,37.8284099731,-122.26631462569999,0
81,177,MacArthur Blvd at Telegraph Ave,37.82628629999999,-122.2651002,0
82,178,Broadway at 30th St,37.81938140000001,-122.2619284,0
83,179,Telegraph Ave at 27th St,37.816073115,-122.2678864002,0
84,18,Telegraph Ave at Alcatraz Ave,37.8502218745,-122.2601723671,0
85,180,Telegraph Ave at 23rd St,37.8126783,-122.2687726,0
86,181,Grand Ave at Webster St,37.8113768,-122.2651925,0
87,182,19th Street BART Station,37.809012599999996,-122.2682473,0
88,183,Telegraph Ave at 19th St,37.8087021,-122.26992709999999,0
89,186,Lakeside Dr at 14th St,37.8013189,-122.26264180000001,0
90,187,Jack London Square,37.796248,-122.279352,0
91,188,Dover St at 57th St,37.8426295,-122.267738,0
92,189,Genoa St at 55th St,37.83964879999999,-122.2717561,0
93,19,Post St at Kearny St,37.788975,-122.403452,2
94,190,West St at 40th St,37.8302232,-122.2709501,0
95,191,Market St at 40th St,37.8305452,-122.27393670000001,0
96,192,37th St at West St,37.8266955864,-122.271797061,0
97,192,37th St at West St,37.82669620000001,-122.27179550000001,0
98,192,MLK Jr Way at 36th St (Temporary Location),37.8257939864,-122.2693991661,0
99,193,Grand Ave at Santa Clara Ave,37.812744099999996,-122.2472152,0
100,194,Lakeshore Ave at Trestle Glen Rd,37.81108070000001,-122.24326770000002,0
101,195,Bay Pl at Vernon St,37.8123140914,-122.26077854629999,0
102,196,Grand Ave at Perkins St,37.808893934000004,-122.2564601898,0
103,197,El Embarcadero at Grand Ave,37.808847899999996,-122.24967990000002,0
104,198,Snow Park,37.8078131822,-122.26449608799999,0
105,20,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,2
106,200,2nd Ave at E 18th St,37.800213567,-122.25381016729999,0
107,201,10th St at Fallon St,37.797672799999994,-122.2629973,0
108,202,Washington St at 8th St,37.8007544,-122.2748943,0
109,203,Webster St at 2nd St,37.7951947644,-122.2739696503,0
110,204,55th St at Telegraph Ave,37.84018579999999,-122.26182250000001,0
111,205,Miles Ave at Cavour St (Temporary Location),37.8388,-122.25873200000001,0
112,205,Shafter Ave at Cavour St,37.8379469,-122.25724270000002,0
113,205,Miles Ave at Cavour St,37.8388,-122.25873200000001,0
